"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl";"lca_tax_greengenes";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"700491";"1";"16S_rRNA::NODE_5137_length_6700_cov_4.318424:1607-3137(+)_S1_16s_all_";"None";"0.953611";"118";"4";"12";"89.1874";"95";"1002";"43281";"3";"1530";"1530";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;"
"700491";"2";"16S_rRNA::NODE_5_length_529428_cov_14.951549:121651-123193(+)_S1_16s_all_";"None";"0.945475";"118";"4";"13";"89.6114";"94";"1002";"43282";"3";"1542";"1541";"none";"None";"None";"None";"None";"Bacteria;Acidobacteria;Subgroup 26;"
"700491";"3";"16S_rRNA::NODE_6709_length_5456_cov_149.583412:3696-5217(-)_S1_16s_all_";"None";"0.996826";"123";"6";"13";"99.4788";"99";"1000";"43282";"1";"1521";"1520";"none";"None";"None";"None";"None";"Bacteria;Actinobacteria;Actinobacteria;PeM15;"
"700491";"4";"16S_rRNA::NODE_11_length_205319_cov_8.462586:72690-74170(-)_S1_16s_all_";"None";"0.999521";"122";"4";"11";"99.5925";"99";"1002";"43280";"3";"1480";"1480";"none";"None";"None";"None";"None";"Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;"
"700491";"5";"16S_rRNA::NODE_2307_length_12499_cov_27.721306:4389-5871(+)_S1_16s_all_";"None";"0.996362";"121";"3";"13";"98.2558";"99";"1003";"43282";"4";"1482";"1481";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudahrensia;"
"700491";"6";"16S_rRNA::NODE_1587_length_16319_cov_16.706645:2874-4338(-)_S1_16s_all_";"None";"0.993288";"123";"3";"13";"94.6964";"99";"1003";"43282";"4";"1464";"1463";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;"
"700491";"7";"16S_rRNA::NODE_34630_length_1615_cov_33.540995:50-1574(+)_S1_16s_all_";"None";"0.998879";"119";"4";"13";"99.8016";"99";"1002";"43282";"3";"1524";"1523";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;"
"700491";"8";"16S_rRNA::NODE_9664_length_4137_cov_7.247382:1-1249(+)_S1_16s_all_";"None";"0.963786";"110";"0";"10";"97.2492";"96";"5708";"43297";"294";"1248";"1236";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;"
"700491";"9";"16S_rRNA::NODE_61936_length_1020_cov_0.910414:2-1020(+)_S1_16s_all_";"None";"0.993351";"110";"0";"0";"86.0491";"99";"7929";"42532";"390";"1018";"1018";"none";"None";"None";"None";"None";"Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;"
"700491";"10";"16S_rRNA::NODE_4451_length_7437_cov_3.027497:1-993(-)_S1_16s_all_";"None";"0.986757";"111";"3";"0";"94.6465";"98";"1003";"32409";"4";"992";"992";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;"
"700491";"11";"16S_rRNA::NODE_23519_length_2135_cov_1.227092:1-989(+)_S1_16s_all_";"None";"0.998531";"117";"0";"13";"98.5011";"99";"14965";"43282";"559";"988";"987";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Blastopirellula;"
"700491";"12";"16S_rRNA::NODE_60397_length_1041_cov_1.519694:1-913(+)_S1_16s_all_";"None";"0.997688";"104";"0";"11";"99.8888";"99";"16306";"43300";"633";"912";"899";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;OM43 clade;"
"700491";"13";"16S_rRNA::NODE_17033_length_2694_cov_1.798598:1723-2694(-)_S1_16s_all_";"None";"0.982546";"115";"0";"12";"95.6569";"98";"14975";"43281";"563";"971";"971";"none";"None";"None";"None";"None";"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;"
"700491";"14";"16S_rRNA::NODE_9970_length_4043_cov_3.054137:711-1640(-)_S1_16s_all_";"None";"0.987485";"100";"0";"4";"96.2162";"98";"21305";"43591";"664";"929";"924";"none";"None";"None";"None";"None";"Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Porifera;Demospongiae;"
