"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl";"lca_tax_greengenes";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"700493";"1";"16S_rRNA::NODE_1_length_1470802_cov_13.480079:1063025-1064567(+)_S2_16s_all_";"None";"0.949159";"117";"4";"13";"89.77";"94";"1002";"43282";"3";"1542";"1541";"none";"None";"None";"None";"None";"Bacteria;Acidobacteria;Subgroup 26;"
"700493";"2";"16S_rRNA::NODE_102_length_75977_cov_28.019249:38367-39904(+)_S2_16s_all_";"None";"0.986355";"122";"3";"13";"94.5406";"98";"1003";"43282";"4";"1537";"1536";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;"
"700493";"3";"16S_rRNA::NODE_7980_length_5456_cov_148.142616:3696-5217(-)_S2_16s_all_";"None";"0.996826";"123";"6";"13";"99.4788";"99";"1000";"43282";"1";"1521";"1520";"none";"None";"None";"None";"None";"Bacteria;Actinobacteria;Actinobacteria;PeM15;"
"700493";"4";"16S_rRNA::NODE_7274_length_5867_cov_30.443554:3880-5360(-)_S2_16s_all_";"None";"0.999151";"122";"4";"9";"99.5925";"99";"1002";"43363";"3";"1480";"1469";"none";"None";"None";"None";"None";"Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;"
"700493";"5";"16S_rRNA::NODE_2685_length_12499_cov_14.774572:6628-8110(-)_S2_16s_all_";"None";"0.995995";"121";"3";"12";"98.2558";"99";"1003";"43289";"4";"1482";"1474";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudahrensia;"
"700493";"6";"16S_rRNA::NODE_4458_length_8556_cov_3.976272:6404-7922(-)_S2_16s_all_";"None";"0.986631";"122";"4";"11";"95.2079";"98";"1002";"43301";"3";"1518";"1505";"none";"None";"None";"None";"None";"Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;"
"700493";"7";"16S_rRNA::NODE_8039_length_5431_cov_14.147247:301-1839(+)_S2_16s_all_";"None";"0.998929";"122";"4";"11";"100";"99";"1002";"43282";"3";"1538";"1537";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;"
"700493";"8";"16S_rRNA::NODE_1358_length_20310_cov_3.881237:10413-12004(+)_S2_16s_all_";"None";"0.982696";"116";"5";"27";"90.3922";"98";"1001";"43285";"2";"1591";"1587";"none";"None";"None";"None";"None";"Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;"
"700493";"9";"16S_rRNA::NODE_39310_length_1615_cov_46.556452:50-1574(+)_S2_16s_all_";"None";"0.998879";"119";"4";"13";"99.8016";"99";"1002";"43282";"3";"1524";"1523";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;"
"700493";"10";"16S_rRNA::NODE_17119_length_3016_cov_1.597439:1315-2847(+)_S2_16s_all_";"None";"0.997542";"119";"4";"13";"99.2024";"99";"1002";"43282";"3";"1532";"1531";"none";"None";"None";"None";"None";"Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Rubripirellula;"
"700493";"11";"16S_rRNA::NODE_12736_length_3768_cov_2.875309:7-1082(+)_S2_16s_all_";"None";"0.976495";"116";"0";"13";"90.3104";"97";"9882";"43282";"444";"1075";"1074";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;"
"700493";"12";"16S_rRNA::NODE_65758_length_1067_cov_1.556383:2-1067(-)_S2_16s_all_";"None";"0.933681";"104";"0";"0";"89.8083";"93";"8418";"43050";"418";"1065";"1065";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbifer;"
"700493";"13";"16S_rRNA::NODE_56633_length_1208_cov_1.373728:123-1207(-)_S2_16s_all_";"None";"0.962303";"111";"0";"12";"94.4963";"96";"9819";"43281";"434";"1084";"1084";"none";"None";"None";"None";"None";"Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;"
"700493";"14";"16S_rRNA::NODE_38893_length_1628_cov_1.487675:7-1066(+)_S2_16s_all_";"None";"0.993524";"115";"0";"13";"95.702";"99";"9882";"43282";"444";"1059";"1058";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;"
"700493";"15";"16S_rRNA::NODE_29099_length_2019_cov_3.095137:0-933(-)_S2_16s_all_";"None";"0.981205";"116";"4";"0";"91.9872";"98";"1002";"28490";"3";"933";"933";"none";"None";"None";"None";"None";"Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;"
"700493";"16";"16S_rRNA::NODE_4049_length_9172_cov_3.575898:4970-5899(-)_S2_16s_all_";"None";"0.988094";"100";"0";"5";"96.2162";"98";"21305";"43274";"664";"929";"929";"none";"None";"None";"None";"None";"Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Porifera;Demospongiae;"
